,0
0,5ebee1a7371207bf39e2d997
1,5ebee1a9371207bf39e2d9e7
2,5ebee1ab371207bf39e2da4b
3,5ebee1ab371207bf39e2da55
4,5ebee1bdaaded713e5745fe5
5,5ebee1bdaaded713e5745fef
6,5ebee1beaaded713e574600d
7,5ebee1bfaaded713e574602b
8,5ebee1c1aaded713e574608f
9,5ebee2315afc0f2f75e34c54
10,5ebee2335afc0f2f75e34c9a
11,5ebee2335afc0f2f75e34ca4
12,5ebee2335afc0f2f75e34cb8
13,5ebee2345afc0f2f75e34cd6
14,5ebee2345afc0f2f75e34ce0
15,5ebee2345afc0f2f75e34cea
16,5ebee2355afc0f2f75e34cfe
17,5ebee31baaded713e574670b
18,5ebee31faaded713e574675b
19,5ebee320aaded713e574676f
20,5ebee320aaded713e5746779
21,5ebee321aaded713e57467a1
22,5ebee33be66d7d2ba0852209
23,5ebee35eaaded713e57468b9
24,5ebee360aaded713e57468e1
25,5ebee361aaded713e57468eb
26,5ebee361aaded713e57468ff
27,5ebee4715afc0f2f75e35d86
28,5ebee472068e17d58ed7ff0b
29,5ebee473068e17d58ed7ff15
30,5ebee483068e17d58ed7ffd3
31,5ebee4da2dd74ce8ae8428c4
32,5ebee4dd2dd74ce8ae8428ec
33,5ebee4e62dd74ce8ae842978
34,5ebee4e72dd74ce8ae8429a0
35,5ebee5005afc0f2f75e361f6
36,5ebee5005afc0f2f75e36214
37,5ebee5015afc0f2f75e3625a
38,5ebee5025afc0f2f75e3626e
39,5ebee513068e17d58ed801bd
40,5ebee519068e17d58ed80217
41,5ebee51b068e17d58ed80235
42,5ebee51d068e17d58ed80267
43,5ebee51e068e17d58ed80271
44,5ebee51f068e17d58ed8028f
45,5ebee520068e17d58ed80299
46,5ebeea9c20452ce620e22dde
47,5ebeea9d20452ce620e22e06
48,5ebeeaaf8171fddb796f6761
49,5ebeeab18171fddb796f67d9
50,5ebeeab18171fddb796f6801
51,5ebeeab28171fddb796f683d
52,5ebeeacc20452ce620e22e6a
53,5ebeeace20452ce620e22ea6
54,5ebeead020452ce620e22f0a
55,5ebeead120452ce620e22f28
56,5ebeead120452ce620e22f32
57,5ebeeb131c26843661d766c5
58,5ebeeb131c26843661d766cf
59,5ebeeb141c26843661d766e3
60,5ebeeb141c26843661d76715
61,5ebeeb151c26843661d76729
62,5ebeeb151c26843661d7673d
63,5ebeeb151c26843661d76751
64,5ebeeb161c26843661d76765
65,5ebeeb161c26843661d7676f
66,5ebeeb171c26843661d767b5
67,5ebeeb171c26843661d767d3
