date_collected,operating_field_name,crop_name,robot_name,experiment_id,_id
2020-03-18,321,NONE_FALLOW_PRE_EMERGE,DCM-DOLPHIN,321,557
2020-03-19,123,UNKNOWN,DCM-DOLPHIN,123,13
2020-03-24,parking lot,NONE_FALLOW_PRE_EMERGE,DCM-DOLPHIN,qr code data collection,95
2020-03-25,9,CORN,DCM-DOLPHIN,QR code data collection,61
2020-03-25,9,CORN,DCM-MANATEE,corn gl 9,595
2020-03-25,goodland 9,CORN,DCM-DOLPHIN,QR code datacollection,92
2020-03-25,goodland 9,CORN,DCM-MANATEE,gl 9 data collection,248
2020-03-25,parking lot,NONE_FALLOW_PRE_EMERGE,DCM-DOLPHIN,qr code datacollection,282
2020-03-26,barton west 1,CORN,DCM-DOLPHIN,bw1data collect 3/26 corn,342
2020-03-26,barton west1,CORN,DCM-MANATEE,bw 1 data collection,840
2020-03-26,barton west1,CORN,DCM-MANATEE,bw 2 data collection 3\26 corn,343
2020-03-26,goodland 7,CORN,DCM-MANATEE,GL7 data collect3/26,119
2020-03-26,inside  building,NONE_FALLOW_PRE_EMERGE,DCM-DOLPHIN,QR test 3/26,505
2020-03-27,Minnie's Field,CORN,DCM-MANATEE,BOGUS - RICH TEST,29
2020-03-27,arney,CORN,DCM-DOLPHIN,hb data clct 3/27 corn,278
2020-03-27,arney,CORN,DCM-MANATEE,hoelschcorn1 data c 3/27,468
2020-03-27,arney,CORN,DCM-MANATEE,hoelschcorn2 data c 3/27,212
2020-03-27,lott front,CORN,DCM-DOLPHIN,wf data 3/27 corn1,290
2020-03-27,lott front,CORN,DCM-DOLPHIN,wf data 3/27 corn2,275
2020-03-27,lottfront,CORN,DCM-MANATEE,wf corn 1  3/27,475
2020-03-27,lottfront,CORN,DCM-MANATEE,wf corn 2 data c   3/27,427
2020-03-27,trailer house,CORN,DCM-DOLPHIN,corn1,251
2020-03-27,trailer house,CORN,DCM-DOLPHIN,corn2,290
2020-03-27,trailer house,CORN,DCM-DOLPHIN,corn3,154
2020-03-27,trailer house,CORN,DCM-MANATEE,rw thouse 4 corn3/27,82
2020-03-27,trailer house,CORN,DCM-MANATEE,rw thouse1 corn3/27,552
2020-03-27,trailer house,CORN,DCM-MANATEE,rw thouse3 corn3/27,68
2020-03-27,trailer house,CORN,DCM-MANATEE,rw thousedata13/27,123
2020-03-28,goodland 1,CORN,DCM-MANATEE,corn1,588
2020-03-28,goodland 1,CORN,DCM-MANATEE,corn2,360
2020-03-28,goodland 5,CORN,DCM-MANATEE,corn3,354
2020-03-30,big field,CORN,DCM-MANATEE,corn1 3/30,534
2020-03-30,big field,CORN,DCM-MANATEE,corn2  3/30,539
2020-03-30,kemp,CORN,DCM-MANATEE,corn3  3/30,371
2020-03-30,kemp,CORN,DCM-MANATEE,corn4  3/30,435
2020-03-31,1761,COTTON,DCM-DOLPHIN,cotton1,281
2020-03-31,1761,COTTON,DCM-DOLPHIN,cotton2,267
2020-03-31,3200w,COTTON,DCM-DOLPHIN,cotton1,258
2020-03-31,3200w,COTTON,DCM-DOLPHIN,cotton2,263
2020-03-31,3200w,COTTON,DCM-DOLPHIN,cotton3,280
2020-03-31,3200w,COTTON,DCM-DOLPHIN,cotton4,268
2020-03-31,bordo nuevo,COTTON,DCM-MANATEE,cotton 3  3/31,263
2020-03-31,bordo nuevo,COTTON,DCM-MANATEE,cotton 4  3/31,194
2020-03-31,cr 360,COTTON,DCM-DOLPHIN,cotton1,278
2020-03-31,cr 360,COTTON,DCM-DOLPHIN,cotton2,297
2020-03-31,webber,COTTON,DCM-MANATEE,cotton 1  3/31,322
2020-03-31,webber,COTTON,DCM-MANATEE,cotton 2  3/31,178
2020-04-01,156 north,COTTON,DCM-DOLPHIN,cotton1,248
2020-04-01,anzeda,COTTON,DCM-MANATEE,cotton 1  4/1,535
2020-04-01,anzeda,COTTON,DCM-MANATEE,cotton 2  4/1,270
2020-04-01,anzeda,COTTON,DCM-MANATEE,cotton 3  4/1,245
2020-04-01,anzeda,COTTON,DCM-MANATEE,cotton 4   4/1,263
2020-04-01,anzeda,COTTON,DCM-MANATEE,cotton 5  4/1,168
2020-04-01,anzeda,COTTON,DCM-MANATEE,cotton 6  4/1,126
2020-04-01,anzeda,COTTON,DCM-MANATEE,cotton 7  4/1,315
2020-04-01,barn,COTTON,DCM-DOLPHIN,cotton1,226
2020-04-01,barn,COTTON,DCM-DOLPHIN,cotton2,196
2020-04-01,bordo nuevo,COTTON,DCM-MANATEE,cotton 7  4/1,298
2020-04-01,gin,COTTON,DCM-DOLPHIN,cotton1,281
2020-04-02,middle furgeson,CORN,DCM-DOLPHIN,corn1,247
2020-04-02,middle furgeson,CORN,DCM-DOLPHIN,corn2,196
2020-04-02,middle furgeson,CORN,DCM-DOLPHIN,corn3,186
2020-04-02,oil field,CORN,DCM-MANATEE,corn4  4/2,313
2020-04-02,oil field,CORN,DCM-MANATEE,corn5  4/2,298
2020-04-02,oil field,CORN,DCM-MANATEE,corn6  4/2,58
2020-04-02,red barn,CORN,DCM-MANATEE,corn1 4/2,283
2020-04-02,red barn,CORN,DCM-MANATEE,corn2  4/2,360
2020-04-02,red barn,CORN,DCM-MANATEE,corn3  4/2,248
2020-04-02,sandpatch,CORN,DCM-MANATEE,corn7  4/2,287
2020-04-02,sandpatch,CORN,DCM-MANATEE,corn8   4/2,298
2020-04-02,sandpatch,CORN,DCM-MANATEE,corn9   4/2,361
2020-04-02,tree,CORN,DCM-DOLPHIN,corn1,266
2020-04-02,tree,CORN,DCM-DOLPHIN,corn2,245
2020-04-08,1,SOYBEANS,DCM-DOLPHIN,qr data collct,141
2020-04-08,gravel,NONE_FALLOW_PRE_EMERGE,DCM-DOLPHIN,qr code data collect,143
2020-04-08,inside,NONE_FALLOW_PRE_EMERGE,DCM-DOLPHIN,qr code data collect,90
2020-04-08,parking lot,NONE_FALLOW_PRE_EMERGE,DCM-DOLPHIN,qr code data collect,57
2020-04-09,6,SOYBEANS,DCM-MANATEE,soybeans1,341
2020-04-09,8,SOYBEANS,DCM-MANATEE,soybeans1,319
2020-04-15,156s,COTTON,DCM-MANATEE,cotton1,512
2020-04-15,156s,COTTON,DCM-MANATEE,cotton2,600
2020-04-28,kjh,NONE_FALLOW_PRE_EMERGE,DCM-OTTER,kjh,43
2020-04-28,kjhg,NONE_FALLOW_PRE_EMERGE,DCM-OTTER,jkhg,7
2020-04-30,gg,NONE_FALLOW_PRE_EMERGE,DCM-OTTER,ggg,43
2020-04-30,jkhg,NONE_FALLOW_PRE_EMERGE,DCM-MANATEE,RGB888 Check,2
2020-05-02,home,NONE_FALLOW_PRE_EMERGE,DCM-OTTER,sample,30
2020-05-05,y,NONE_FALLOW_PRE_EMERGE,DCM-DOLPHIN,u,129
2020-05-06,behind freddy,SOYBEANS,DCM-MANATEE,senters soybeans,474
2020-05-06,lost john north,COTTON,DCM-MANATEE,holthouse cotton,723
2020-05-07,cementary,SOYBEANS,DCM-MANATEE,greenway cementary,675
2020-05-07,loading dock 2,SOYBEANS,DCM-MANATEE,soybeans,124
2020-05-07,loading docks,SOYBEANS,DCM-MANATEE,loading docks,660
2020-05-07,loading docks2,SOYBEANS,DCM-MANATEE,loading docks,76
