dp_id,mistakes
5ec1f531910b34a89dd9480d,"[{""x"":0.20462046204620463,""y"":0.089062669707831,""w"":0.030803080308030834,""h"":0.032149451504290244,""type"":""3""},{""x"":0.2608483070529275,""y"":0.12729444987509503,""w"":0.020535386872020556,""h"":0.02606712284131638,""type"":""3""},{""x"":0.24715804913824715,""y"":0.13945910720104268,""w"":0.02395795135069065,""h"":0.02172260236776365,""type"":""3""},{""x"":0.5011612272338353,""y"":0.7132616487455221,""w"":-0.010104714175121191,""h"":0.02259150646247418,""type"":""3""},{""x"":0.49920547610316657,""y"":0.7260055754679434,""w"":0.009778755653343203,""h"":0.01274392672242132,""type"":""5""},{""x"":0.49246899998642035,""y"":0.03128054740957967,""w"":0.013038340871124208,""h"":0.020274428876579417,""type"":""0""}]"
5ebbb33a2c4373c4398c56fb,"[{""x"":0.5090928845971016,""y"":0.30347682319008484,""w"":0.00804031020385985,""h"":0.010813028734175723,""type"":""0""}]"
5ebbb33a2c4373c4398c56fa,[]
5ebceff6078f937420863495,"[{""x"":0.8635863586358636,""y"":0.20506136635168892,""w"":0.02933626696002942,""h"":0.03388725969371127,""type"":""3""},{""x"":0.8459845984598461,""y"":0.1407624633431085,""w"":0.019557511306686218,""h"":0.03649397197784294,""type"":""3""},{""x"":0.7967376984612042,""y"":0.1420175470354682,""w"":0.01999212266905696,""h"":0.01930897988245658,""type"":""3""}]"
5ec49c9bce7cf4e480e10d71,[]
5ebd4980604644c3647efa52,"[{""x"":0.7562237705252005,""y"":0.7637666992505704,""w"":0.011082589740455529,""h"":0.026067122841316296,""type"":""0""}]"
5ebe083b07ee37d451f8fe7a,"[{""x"":0.870920425375871,""y"":0.08978675645342313,""w"":-0.008800880088008863,""h"":0.01158538792947394,""type"":""0""}]"
5ebceb1d35eebb729bd6f590,"[{""x"":0.4137771801871544,""y"":0.6441904777229353,""w"":0.01140854826223361,""h"":0.01216465732594766,""type"":""3""}]"
5ebbb33a2c4373c4398c5702,"[{""x"":0.04869005419060425,""y"":0.33662792802577746,""w"":0.007171087479118273,""h"":0.01100611853300026,""type"":""5""},{""x"":0.10671067106710669,""y"":0.3280676136112218,""w"":-0.010575543151022916,""h"":0.018279167622058907,""type"":""3""},{""x"":0.9141914191419144,""y"":0.14583107056225336,""w"":0.0065191704355620095,""h"":0.01332319611889504,""type"":""0""}]"
5ebe3227db3477e211b9aa31,[]
5ebe5e10ab2be5a00004ec1b,"[{""x"":0.08894779471320227,""y"":0.9979060332417222,""w"":-0.08806420734850158,""h"":-0.09736945425991345,""type"":""3""},{""x"":0.41469700316618824,""y"":0.15704750687082844,""w"":0.014137397835210981,""h"":0.026698076168040822,""type"":""4""}]"
5ebd225f4aff6fb933dbe3a8,[]
5ebcf305c334223a91efc148,[]
5ebbb33a2c4373c4398c573f,"[{""x"":0.283042485825786,""y"":0.7094621122889675,""w"":0.005890582431337915,""h"":0.017798717445360525,""type"":""0""}]"
5ebcd6b653836479e618adb3,[]
5ebdf0796b7d85af7cd2c0cf,"[{""x"":0.3864222074957661,""y"":0.5166862976050255,""w"":0.01531551432147852,""h"":0.028268551236749116,""type"":""2""}]"
5ec226d36604adfac6667d99,[]
5ec21f756359d31e7cb9d9a2,[]
5ec3bd8c7c80a3a8c8ef80ab,"[{""x"":0.5808850600103086,""y"":0.03297997644287397,""w"":0.007952286282306162,""h"":0.023033634341054838,""type"":""5""},{""x"":0.21213459980855598,""y"":0.060201544300484224,""w"":0.010013990133274411,""h"":0.015181258997513419,""type"":""5""}]"
5ec3596fa18ce0e0987d7f18,"[{""x"":0.5613725057065027,""y"":0.3702394974479779,""w"":0.007068698917605529,""h"":0.00837586703311082,""type"":""5""},{""x"":0.5663795007731398,""y"":0.35296427169218675,""w"":0.007952286282306162,""h"":0.015181258997513445,""type"":""5""},{""x"":0.5607834474633688,""y"":0.18911137285695578,""w"":0.011192106619542024,""h"":0.030886009684596264,""type"":""5""}]"
5ec4983dce7cf4e480e0ff39,"[{""x"":0.37257933878212207,""y"":0.8670331108493652,""w"":0.00854134452543997,""h"":0.01936919251406899,""type"":""4""},{""x"":0.5946542964435609,""y"":0.8597042271953933,""w"":0.01030851925484139,""h"":0.020416175893207607,""type"":""4""},{""x"":0.5575436271261321,""y"":0.4403873838502814,""w"":0.005890582431337915,""h"":0.013610783928805116,""type"":""4""},{""x"":0.5230837199028054,""y"":0.4273000916110457,""w"":0.006185111552904743,""h"":0.01727522575579108,""type"":""2""},{""x"":0.5239673072675062,""y"":0.4225886664049209,""w"":0.006185111552904818,""h"":0.01884570082449941,""type"":""1""}]"
5ebe07f366d119dc7475556f,"[{""x"":0.29541270893159566,""y"":0.8230598089255333,""w"":0.011781164862675756,""h"":0.026174584478471343,""type"":""4""},{""x"":0.47095206538546497,""y"":0.5691663394843606,""w"":0.008246815403873066,""h"":0.020416175893207673,""type"":""4""}]"
5ebbb33a2c4373c4398c5734,"[{""x"":0.5148369044989326,""y"":0.557126030624264,""w"":0.0091304027685737,""h"":0.016228242376652196,""type"":""0""}]"
5ebbb33a2c4373c4398c5731,"[{""x"":0.10809218761505043,""y"":0.33974610653055887,""w"":0.04476842647816802,""h"":0.07381232822928932,""type"":""3""},{""x"":0.14225756571681022,""y"":0.4606726868210967,""w"":0.043590309991900486,""h"":0.038214893338568263,""type"":""3""},{""x"":0.10220160518371255,""y"":0.45124983640884697,""w"":0.018849863780281247,""h"":0.040832351786415345,""type"":""3""},{""x"":0.8757087106987703,""y"":0.42088731841382016,""w"":0.01030851925484139,""h"":0.01779871744536059,""type"":""0""},{""x"":0.9084014431926957,""y"":0.3674911660777385,""w"":0.009130402768573777,""h"":0.024604109409763084,""type"":""2""},{""x"":0.912819380016199,""y"":0.3601622824237665,""w"":0.005890582431338066,""h"":0.020416175893207673,""type"":""1""}]"
5ebbb33a2c4373c4398c572e,[]
5ec2221e3649bd8c29f13396,"[{""x"":0.3236875046020175,""y"":0.7051433058500195,""w"":0.010897577497975122,""h"":0.016751734066221772,""type"":""4""}]"
5ebbb33a2c4373c4398c572c,"[{""x"":0.17229953611663354,""y"":0.280068053919644,""w"":0.002356232972535151,""h"":0.009946342101819149,""type"":""1""}]"
5ebe4ec9f79df00551b2b057,"[{""x"":0.1219350563286945,""y"":0.3894778170396545,""w"":0.01767174729401369,""h"":0.024604109409763084,""type"":""4""}]"
5ebce8e74d34dfbe04ffe235,"[{""x"":0.35314041675870705,""y"":0.5114513807093313,""w"":0.012370223105809562,""h"":0.03559743489072118,""type"":""4""},{""x"":0.7905897945659377,""y"":0.02146315927234655,""w"":0.022678742360650875,""h"":0.015181258997513415,""type"":""0""},{""x"":0.8857227008320449,""y"":0.39261876717707095,""w"":0.009424931890140605,""h"":0.035073943201151675,""type"":""3""}]"
5ebbb33a2c4373c4398c5728,"[{""x"":0.7059863043958471,""y"":0.48121973563669657,""w"":0.007657757160739335,""h"":0.023557126030624265,""type"":""4""},{""x"":0.5428171710477874,""y"":0.24774244208873164,""w"":0.012664752227376464,""h"":0.026174584478471378,""type"":""4""}]"
