,dp_id,MissedWeeds,MissedCrop,CasW,WasC,FPWeed,FPCrop,Total,labeled_instances,actual_instances
0,5ec1f531910b34a89dd9480d,1,0,0,4,0,1,6,18,23
1,5ebbb33a2c4373c4398c56fb,1,0,0,0,0,0,1,3,4
2,5ebbb33a2c4373c4398c56fa,0,0,0,0,0,0,0,3,3
3,5ebceff6078f937420863495,0,0,0,3,0,0,3,1,4
4,5ec49c9bce7cf4e480e10d71,0,0,0,0,0,0,0,4,4
5,5ebd4980604644c3647efa52,1,0,0,0,0,0,1,8,9
6,5ebe083b07ee37d451f8fe7a,1,0,0,0,0,0,1,6,7
7,5ebceb1d35eebb729bd6f590,0,0,0,1,0,0,1,1,2
8,5ebbb33a2c4373c4398c5702,1,0,0,1,0,1,3,1,3
9,5ebe3227db3477e211b9aa31,0,0,0,0,0,0,0,1,1
10,5ebe5e10ab2be5a00004ec1b,0,0,0,1,1,0,2,8,8
11,5ebd225f4aff6fb933dbe3a8,0,0,0,0,0,0,0,9,9
12,5ebcf305c334223a91efc148,0,0,0,0,0,0,0,4,4
13,5ebbb33a2c4373c4398c573f,1,0,0,0,0,0,1,1,2
14,5ebcd6b653836479e618adb3,0,0,0,0,0,0,0,3,3
15,5ebdf0796b7d85af7cd2c0cf,0,0,1,0,0,0,1,7,6
16,5ec226d36604adfac6667d99,0,0,0,0,0,0,0,4,4
17,5ec21f756359d31e7cb9d9a2,0,0,0,0,0,0,0,6,6
18,5ec3bd8c7c80a3a8c8ef80ab,0,0,0,0,0,2,2,11,11
19,5ec3596fa18ce0e0987d7f18,0,0,0,0,0,3,3,30,30
20,5ec4983dce7cf4e480e0ff39,0,1,1,0,3,0,5,21,17
21,5ebe07f366d119dc7475556f,0,0,0,0,2,0,2,6,4
22,5ebbb33a2c4373c4398c5734,1,0,0,0,0,0,1,3,4
23,5ebbb33a2c4373c4398c5731,1,1,1,3,0,0,6,20,23
24,5ebbb33a2c4373c4398c572e,0,0,0,0,0,0,0,3,3
25,5ec2221e3649bd8c29f13396,0,0,0,0,1,0,1,3,2
26,5ebbb33a2c4373c4398c572c,0,1,0,0,0,0,1,1,1
27,5ebe4ec9f79df00551b2b057,0,0,0,0,1,0,1,2,1
28,5ebce8e74d34dfbe04ffe235,1,0,0,1,1,0,3,6,7
29,5ebbb33a2c4373c4398c5728,0,0,0,0,2,0,2,4,2
30,5ebe3f7b991db14f90c96e72,0,2,2,0,0,0,4,2,0
31,5ebebb1a5629dedf83d2a194,0,0,1,0,0,0,1,1,0
32,5ebcdcbac3545e0a2b3ddcb2,1,1,0,0,0,0,2,7,8
33,5ebe2b217885091f5a30fd44,0,0,3,0,0,0,3,14,11
34,5ec1eaafb119229974d6cd23,0,0,0,0,1,0,1,10,9
35,5ebe09681844e3a1e61dc681,0,0,0,0,0,0,0,1,1
36,5ebe527839ab43ca89af781b,0,0,0,0,0,0,0,1,1
37,5ebbb33a2c4373c4398c5725,0,0,0,0,0,0,0,4,4
38,5ebdf1edd4cd52293b2f432d,0,0,0,0,0,0,0,3,3
39,5ebbb33a2c4373c4398c5722,0,0,0,1,0,0,1,4,5
40,5ebbb33a2c4373c4398c5721,5,3,5,1,0,0,14,14,15
41,5ebcf2ab4f193b44f8737676,0,0,2,6,1,1,10,28,31
42,5ec38a728651567b2371ff97,1,0,1,0,0,0,2,12,12
